,tweet_id,date,time
20574,1237166277531029504,2020-03-10,0:0:0
20575,1237166277556199424,2020-03-10,0:0:0
20576,1237166306908045312,2020-03-10,0:0:7
20577,1237166315279912960,2020-03-10,0:0:9
20578,1237166382384586755,2020-03-10,0:0:25
20579,1237166445307412480,2020-03-10,0:0:40
20580,1237166453692026880,2020-03-10,0:0:42
20581,1237166453712990208,2020-03-10,0:0:42
20582,1237166462109921281,2020-03-10,0:0:44
20583,1237166470485946369,2020-03-10,0:0:46
20584,1237166525020241920,2020-03-10,0:0:59
20585,1237166541801750528,2020-03-10,0:1:3
20586,1237166575339405312,2020-03-10,0:1:11
20587,1237166579529416704,2020-03-10,0:1:12
20588,1237166587913871370,2020-03-10,0:1:14
20589,1237166587922255877,2020-03-10,0:1:14
20590,1237166625666797568,2020-03-10,0:1:23
20591,1237166625671000070,2020-03-10,0:1:23
20592,1237166646634086403,2020-03-10,0:1:28
20593,1237166659237896192,2020-03-10,0:1:31
20594,1237166730516017153,2020-03-10,0:1:48
20595,1237166759876141057,2020-03-10,0:1:55
20596,1237166768277327874,2020-03-10,0:1:57
20597,1237166885730426880,2020-03-10,0:2:25
20598,1237166910883524609,2020-03-10,0:2:31
20599,1237166915090444288,2020-03-10,0:2:32
20600,1237166919293247489,2020-03-10,0:2:33
20601,1237166923466575873,2020-03-10,0:2:34
20602,1237166931838410753,2020-03-10,0:2:36
20603,1237166973789839360,2020-03-10,0:2:46
20604,1237166982199267328,2020-03-10,0:2:48
20605,1237167015732760578,2020-03-10,0:2:56
20606,1237167028315848704,2020-03-10,0:2:59
20607,1237167049291337728,2020-03-10,0:3:4
20608,1237167049308123137,2020-03-10,0:3:4
20609,1237167099627405312,2020-03-10,0:3:16
20610,1237167116404559880,2020-03-10,0:3:20
20611,1237167149946454016,2020-03-10,0:3:28
20612,1237167149975851008,2020-03-10,0:3:28
20613,1237167175108091904,2020-03-10,0:3:34
20614,1237167183505039367,2020-03-10,0:3:36
