,tweet_id,date,time
0,1236079113955192832,2020-03-07,0:0:0
1,1236079122356613120,2020-03-07,0:0:2
2,1236079147518025728,2020-03-07,0:0:8
3,1236079189461213190,2020-03-07,0:0:18
4,1236079193626116096,2020-03-07,0:0:19
5,1236079206213332993,2020-03-07,0:0:22
6,1236079218792050688,2020-03-07,0:0:25
7,1236079235581739008,2020-03-07,0:0:29
8,1236079239767764993,2020-03-07,0:0:30
9,1236079252363042816,2020-03-07,0:0:33
10,1236079285917626371,2020-03-07,0:0:41
11,1236079285926060032,2020-03-07,0:0:41
12,1236079294310486016,2020-03-07,0:0:43
13,1236079306872414208,2020-03-07,0:0:46
14,1236079319455346689,2020-03-07,0:0:49
15,1236079353009786881,2020-03-07,0:0:57
16,1236079415928463361,2020-03-07,0:1:12
17,1236079445309521920,2020-03-07,0:1:19
18,1236079478855675906,2020-03-07,0:1:27
19,1236079483062497282,2020-03-07,0:1:28
20,1236079487227330561,2020-03-07,0:1:29
21,1236079525005582336,2020-03-07,0:1:38
22,1236079550154428416,2020-03-07,0:1:44
23,1236079566919290880,2020-03-07,0:1:48
24,1236079625639538690,2020-03-07,0:2:2
25,1236079642429345792,2020-03-07,0:2:6
26,1236079734695567362,2020-03-07,0:2:28
27,1236079747299282944,2020-03-07,0:2:31
28,1236079805998813185,2020-03-07,0:2:45
29,1236079818594299904,2020-03-07,0:2:48
30,1236079826974502912,2020-03-07,0:2:50
31,1236079944423428096,2020-03-07,0:3:18
32,1236080074446630912,2020-03-07,0:3:49
33,1236080087029686273,2020-03-07,0:3:52
34,1236080124757454856,2020-03-07,0:4:1
35,1236080128985268225,2020-03-07,0:4:2
36,1236080128989499392,2020-03-07,0:4:2
37,1236080154134405120,2020-03-07,0:4:8
38,1236080271595835392,2020-03-07,0:4:36
39,1236080342886465536,2020-03-07,0:4:53
40,1236080422586585094,2020-03-07,0:5:12
41,1236080426772545536,2020-03-07,0:5:13
42,1236080506451746819,2020-03-07,0:5:32
43,1236080556796006405,2020-03-07,0:5:44
44,1236080690988568576,2020-03-07,0:6:16
45,1236080758109794305,2020-03-07,0:6:32
46,1236080762329366528,2020-03-07,0:6:33
47,1236080770680307714,2020-03-07,0:6:35
48,1236080800069832707,2020-03-07,0:6:42
49,1236080804264062976,2020-03-07,0:6:43
50,1236080871356002304,2020-03-07,0:6:59
51,1236080879761571841,2020-03-07,0:7:1
52,1236080913299062785,2020-03-07,0:7:9
53,1236080963622322176,2020-03-07,0:7:21
54,1236081009763987457,2020-03-07,0:7:32
55,1236081055913963520,2020-03-07,0:7:43
56,1236081236252209153,2020-03-07,0:8:26
57,1236081311774801921,2020-03-07,0:8:44
58,1236081315948228614,2020-03-07,0:8:45
59,1236081315960754176,2020-03-07,0:8:45
60,1236081332716879873,2020-03-07,0:8:49
61,1236081433384349696,2020-03-07,0:9:13
62,1236081550820810760,2020-03-07,0:9:41
63,1236081580218748929,2020-03-07,0:9:48
64,1236081592780632066,2020-03-07,0:9:51
65,1236081630541828097,2020-03-07,0:10:0
66,1236081651517509635,2020-03-07,0:10:5
67,1236081655686656000,2020-03-07,0:10:6
68,1236081659893747712,2020-03-07,0:10:7
69,1236081697642491904,2020-03-07,0:10:16
70,1236081743783960578,2020-03-07,0:10:27
71,1236081844438937602,2020-03-07,0:10:51
72,1236081886386171906,2020-03-07,0:11:1
73,1236082003818274817,2020-03-07,0:11:29
74,1236082003835006978,2020-03-07,0:11:29
75,1236082003839201282,2020-03-07,0:11:29
76,1236082045769732096,2020-03-07,0:11:39
77,1236082083510054912,2020-03-07,0:11:48
78,1236082117081210883,2020-03-07,0:11:56
79,1236082154800439296,2020-03-07,0:12:5
80,1236082167404539905,2020-03-07,0:12:8
81,1236082247092047872,2020-03-07,0:12:27
82,1236082318395281421,2020-03-07,0:12:44
83,1236082347751149574,2020-03-07,0:12:51
84,1236082419045982209,2020-03-07,0:13:8
85,1236082440025845763,2020-03-07,0:13:13
86,1236082481977229312,2020-03-07,0:13:23
87,1236082498741907461,2020-03-07,0:13:27
88,1236082498762944514,2020-03-07,0:13:27
89,1236082549098766336,2020-03-07,0:13:39
90,1236082595227529216,2020-03-07,0:13:50
91,1236082628782063616,2020-03-07,0:13:58
92,1236082637179154436,2020-03-07,0:14:0
93,1236082645567705089,2020-03-07,0:14:2
94,1236082809137029120,2020-03-07,0:14:41
95,1236082830083530760,2020-03-07,0:14:46
96,1236083043997298688,2020-03-07,0:15:37
97,1236083178231611395,2020-03-07,0:16:9
98,1236083199194865664,2020-03-07,0:16:14
99,1236083236956233729,2020-03-07,0:16:23
100,1236083304044118016,2020-03-07,0:16:39
101,1236083450873917442,2020-03-07,0:17:14
102,1236083476022980608,2020-03-07,0:17:20
103,1236083509560737793,2020-03-07,0:17:28
104,1236083522168918017,2020-03-07,0:17:31
105,1236083601839738880,2020-03-07,0:17:50
106,1236083610261872642,2020-03-07,0:17:52
