,tweet_id,date,time
6169,1236441526995206144,2020-03-08,0:0:6
6170,1236441610860322816,2020-03-08,0:0:26
6171,1236441703143399427,2020-03-08,0:0:48
6172,1236441749259718657,2020-03-08,0:0:59
6173,1236441803794067456,2020-03-08,0:1:12
6174,1236441866737983488,2020-03-08,0:1:27
6175,1236441933813133312,2020-03-08,0:1:43
6176,1236442005112324096,2020-03-08,0:2:0
6177,1236442198088048640,2020-03-08,0:2:46
6178,1236442202265522182,2020-03-08,0:2:47
6179,1236442206447104000,2020-03-08,0:2:48
6180,1236442206472269824,2020-03-08,0:2:48
6181,1236442378413715457,2020-03-08,0:3:29
6182,1236442382612209665,2020-03-08,0:3:30
6183,1236442500061106177,2020-03-08,0:3:58
6184,1236442504247066631,2020-03-08,0:3:59
6185,1236442516834091009,2020-03-08,0:4:2
6186,1236442537797140480,2020-03-08,0:4:7
6187,1236442554566168576,2020-03-08,0:4:11
6188,1236442562967240705,2020-03-08,0:4:13
6189,1236442579740184576,2020-03-08,0:4:17
6190,1236442705590435841,2020-03-08,0:4:47
6191,1236442709776351232,2020-03-08,0:4:48
6192,1236442718148210690,2020-03-08,0:4:50
6193,1236442760103612416,2020-03-08,0:5:0
6194,1236442831394390016,2020-03-08,0:5:17
6195,1236442856568610819,2020-03-08,0:5:23
6196,1236442974008930304,2020-03-08,0:5:51
6197,1236443032750153728,2020-03-08,0:6:5
6198,1236443154372595716,2020-03-08,0:6:34
6199,1236443267606228992,2020-03-08,0:7:1
6200,1236443296983142405,2020-03-08,0:7:8
6201,1236443326347264001,2020-03-08,0:7:15
6202,1236443401832333314,2020-03-08,0:7:33
6203,1236443418596786177,2020-03-08,0:7:37
6204,1236443422786977793,2020-03-08,0:7:38
6205,1236443426993975298,2020-03-08,0:7:39
6206,1236443557038370818,2020-03-08,0:8:10
6207,1236443678656335874,2020-03-08,0:8:39
6208,1236443812869914625,2020-03-08,0:9:11
6209,1236443829634506753,2020-03-08,0:9:15
6210,1236443959691563008,2020-03-08,0:9:46
6211,1236444114884886531,2020-03-08,0:10:23
6212,1236444148435165185,2020-03-08,0:10:31
6213,1236444194555588608,2020-03-08,0:10:42
6214,1236444278437679105,2020-03-08,0:11:2
6215,1236444299434373123,2020-03-08,0:11:7
6216,1236444307785220096,2020-03-08,0:11:9
6217,1236444316177805312,2020-03-08,0:11:11
6218,1236444387510571009,2020-03-08,0:11:28
6219,1236444425238114304,2020-03-08,0:11:37
6220,1236444479776862208,2020-03-08,0:11:50
6221,1236444773373956099,2020-03-08,0:13:0
6222,1236445033437343745,2020-03-08,0:14:2
6223,1236445087959302146,2020-03-08,0:14:15
6224,1236445100542177286,2020-03-08,0:14:18
6225,1236445176031297538,2020-03-08,0:14:36
6226,1236445217957515270,2020-03-08,0:14:46
6227,1236445377353723906,2020-03-08,0:15:24
6228,1236445410891378688,2020-03-08,0:15:32
6229,1236445440259883008,2020-03-08,0:15:39
6230,1236445457041297409,2020-03-08,0:15:43
6231,1236445465425608704,2020-03-08,0:15:45
6232,1236445507364499456,2020-03-08,0:15:55
6233,1236445603841732608,2020-03-08,0:16:18
6234,1236445670971752449,2020-03-08,0:16:34
6235,1236445675145093126,2020-03-08,0:16:35
6236,1236445691926310912,2020-03-08,0:16:39
6237,1236445721286582272,2020-03-08,0:16:46
6238,1236445763212902400,2020-03-08,0:16:56
6239,1236445855487533064,2020-03-08,0:17:18
6240,1236445880661704705,2020-03-08,0:17:24
6241,1236445964543700992,2020-03-08,0:17:44
6242,1236446010710216704,2020-03-08,0:17:55
6243,1236446090402181128,2020-03-08,0:18:14
6244,1236446144907149312,2020-03-08,0:18:27
6245,1236446241380335617,2020-03-08,0:18:50
6246,1236446274947289096,2020-03-08,0:18:58
6247,1236446283331665925,2020-03-08,0:19:0
6248,1236446295885111296,2020-03-08,0:19:3
6249,1236446316873596928,2020-03-08,0:19:8
6250,1236446337849266176,2020-03-08,0:19:13
6251,1236446413334016000,2020-03-08,0:19:31
6252,1236446480472424452,2020-03-08,0:19:47
6253,1236446488852643841,2020-03-08,0:19:49
6254,1236446669203476480,2020-03-08,0:20:32
6255,1236446786648186880,2020-03-08,0:21:0
6256,1236446803408584704,2020-03-08,0:21:4
6257,1236446807615406082,2020-03-08,0:21:5
6258,1236446904059379713,2020-03-08,0:21:28
6259,1236447159945494528,2020-03-08,0:22:29
6260,1236447210260369409,2020-03-08,0:22:41
6261,1236447264807227392,2020-03-08,0:22:54
6262,1236447289968742400,2020-03-08,0:23:0
6263,1236447294129500160,2020-03-08,0:23:1
6264,1236447294146457602,2020-03-08,0:23:1
6265,1236447294150643712,2020-03-08,0:23:1
6266,1236447315121958912,2020-03-08,0:23:6
6267,1236447369660686337,2020-03-08,0:23:19
6268,1236447399012438016,2020-03-08,0:23:26
6269,1236447428355731458,2020-03-08,0:23:33
6270,1236447461931126785,2020-03-08,0:23:41
6271,1236447680022433792,2020-03-08,0:24:33
6272,1236447688427802624,2020-03-08,0:24:35
6273,1236447797475512320,2020-03-08,0:25:1
6274,1236447801678213121,2020-03-08,0:25:2
6275,1236448107824644097,2020-03-08,0:26:15
6276,1236448124610039808,2020-03-08,0:26:19
6277,1236448128817147904,2020-03-08,0:26:20
6278,1236448145573212160,2020-03-08,0:26:24
6279,1236448187537338368,2020-03-08,0:26:34
6280,1236448195938586624,2020-03-08,0:26:36
6281,1236448216876490752,2020-03-08,0:26:41
6282,1236448267245846529,2020-03-08,0:26:53
6283,1236448283993632768,2020-03-08,0:26:57
6284,1236448304969310208,2020-03-08,0:27:2
6285,1236448422430990336,2020-03-08,0:27:30
6286,1236448581780942848,2020-03-08,0:28:8
6287,1236448585987784704,2020-03-08,0:28:9
6288,1236448594380627968,2020-03-08,0:28:11
6289,1236448732775944197,2020-03-08,0:28:44
6290,1236448875394797575,2020-03-08,0:29:18
6291,1236448879601750016,2020-03-08,0:29:19
6292,1236448934127644672,2020-03-08,0:29:32
6293,1236448959306006535,2020-03-08,0:29:38
6294,1236449013815271424,2020-03-08,0:29:51
6295,1236449047386431489,2020-03-08,0:29:59
6296,1236449055774920707,2020-03-08,0:30:1
6297,1236449101887098880,2020-03-08,0:30:12
6298,1236449227728924672,2020-03-08,0:30:42
6299,1236449252899008515,2020-03-08,0:30:48
6300,1236449261270659072,2020-03-08,0:30:50
