,tweet_id,date,time
11802,1236811347142287360,2020-03-09,0:29:38
11803,1236811447801393152,2020-03-09,0:30:2
11804,1236811452020928513,2020-03-09,0:30:3
11805,1236811464612200452,2020-03-09,0:30:6
11806,1236811548477329409,2020-03-09,0:30:26
11807,1236811573647282176,2020-03-09,0:30:32
11808,1236811598813179904,2020-03-09,0:30:38
11809,1236811829499686912,2020-03-09,0:31:33
11810,1236811846293782528,2020-03-09,0:31:37
11811,1236811913402683395,2020-03-09,0:31:53
11812,1236811955332997120,2020-03-09,0:32:3
11813,1236811967920128000,2020-03-09,0:32:6
11814,1236812102146408453,2020-03-09,0:32:38
11815,1236812328638672896,2020-03-09,0:33:32
11816,1236812471245160449,2020-03-09,0:34:6
11817,1236812479600005120,2020-03-09,0:34:8
11818,1236812483811315712,2020-03-09,0:34:9
11819,1236812538328707073,2020-03-09,0:34:22
11820,1236812622218977280,2020-03-09,0:34:42
11821,1236812630595076096,2020-03-09,0:34:44
11822,1236812655777767430,2020-03-09,0:34:50
11823,1236812752242515973,2020-03-09,0:35:13
11824,1236812773205647360,2020-03-09,0:35:18
11825,1236812831955320832,2020-03-09,0:35:32
11826,1236812836136865792,2020-03-09,0:35:33
11827,1236812890662940673,2020-03-09,0:35:46
11828,1236812940977848320,2020-03-09,0:35:58
11829,1236813112965320704,2020-03-09,0:36:39
11830,1236813171693948929,2020-03-09,0:36:53
11831,1236813238769274880,2020-03-09,0:37:9
11832,1236813289130246145,2020-03-09,0:37:21
11833,1236813293320355840,2020-03-09,0:37:22
11834,1236813494630088705,2020-03-09,0:38:10
11835,1236813679183659009,2020-03-09,0:38:54
11836,1236813976991719425,2020-03-09,0:40:5
11837,1236814052480954368,2020-03-09,0:40:23
11838,1236814098597281794,2020-03-09,0:40:34
11839,1236814115412246530,2020-03-09,0:40:38
11840,1236814140552904704,2020-03-09,0:40:44
11841,1236814258006081536,2020-03-09,0:41:12
11842,1236814262204497920,2020-03-09,0:41:13
11843,1236814287349350400,2020-03-09,0:41:19
11844,1236814354470879232,2020-03-09,0:41:35
11845,1236814492899688448,2020-03-09,0:42:8
11846,1236814547404623875,2020-03-09,0:42:21
11847,1236814635485069319,2020-03-09,0:42:42
11848,1236814656469184512,2020-03-09,0:42:47
11849,1236814664845217794,2020-03-09,0:42:49
11850,1236814744536805377,2020-03-09,0:43:8
11851,1236814748714483714,2020-03-09,0:43:9
11852,1236814761330790401,2020-03-09,0:43:12
11853,1236814832625758208,2020-03-09,0:43:29
11854,1236814991992512512,2020-03-09,0:44:7
11855,1236815021360984065,2020-03-09,0:44:14
11856,1236815084296404992,2020-03-09,0:44:29
11857,1236815180736139265,2020-03-09,0:44:52
11858,1236815256254590978,2020-03-09,0:45:10
11859,1236815423997218816,2020-03-09,0:45:50
11860,1236815432407027714,2020-03-09,0:45:52
11861,1236815470143000577,2020-03-09,0:46:1
11862,1236815507912830976,2020-03-09,0:46:10
11863,1236815545661603841,2020-03-09,0:46:19
11864,1236815604373307393,2020-03-09,0:46:33
11865,1236815667279679488,2020-03-09,0:46:48
11866,1236815709214093312,2020-03-09,0:46:58
11867,1236815730202402816,2020-03-09,0:47:3
11868,1236815902164824065,2020-03-09,0:47:44
11869,1236816011225153538,2020-03-09,0:48:10
11870,1236816065742528514,2020-03-09,0:48:23
11871,1236816086714273792,2020-03-09,0:48:28
11872,1236816283850756096,2020-03-09,0:49:15
11873,1236816338372497409,2020-03-09,0:49:28
11874,1236816405489745921,2020-03-09,0:49:44
11875,1236816447441178624,2020-03-09,0:49:54
11876,1236816485156302848,2020-03-09,0:50:3
11877,1236816497764433921,2020-03-09,0:50:6
11878,1236816564856504320,2020-03-09,0:50:22
11879,1236816573236678656,2020-03-09,0:50:24
11880,1236816619386687488,2020-03-09,0:50:35
11881,1236816673933602816,2020-03-09,0:50:48
11882,1236816720066535424,2020-03-09,0:50:59
11883,1236816724235821059,2020-03-09,0:51:0
11884,1236816728459534336,2020-03-09,0:51:1
11885,1236816736826978305,2020-03-09,0:51:3
11886,1236816766199873538,2020-03-09,0:51:10
11887,1236816782956126208,2020-03-09,0:51:14
11888,1236816858487107585,2020-03-09,0:51:32
11889,1236816975894102016,2020-03-09,0:52:0
11890,1236817181448511488,2020-03-09,0:52:49
